#datatype,string,long,dateTime:RFC3339,double,string
#group,false,false,false,false,true
#default,_result,,,,
,result,table,_time,_value,_field
,,0,2018-05-22T19:53:26Z,0,usage_guest
,,0,2018-05-22T19:53:36Z,0,usage_guest
,,0,2018-05-22T19:53:46Z,0,usage_guest
,,0,2018-05-22T19:53:56Z,0,usage_guest
,,0,2018-05-22T19:54:06Z,0,usage_guest
,,0,2018-05-22T19:54:16Z,0,usage_guest
,,1,2018-05-22T19:53:26Z,0,usage_guest_nice
,,1,2018-05-22T19:53:36Z,0,usage_guest_nice
,,1,2018-05-22T19:53:46Z,0,usage_guest_nice
,,1,2018-05-22T19:53:56Z,0,usage_guest_nice
,,1,2018-05-22T19:54:06Z,0,usage_guest_nice
,,1,2018-05-22T19:54:16Z,0,usage_guest_nice
,,2,2018-05-22T19:53:26Z,91.7364670583823,usage_idle
,,2,2018-05-22T19:53:36Z,89.51118889861233,usage_idle
,,2,2018-05-22T19:53:46Z,91.0977744436109,usage_idle
,,2,2018-05-22T19:53:56Z,91.02836436336374,usage_idle
,,2,2018-05-22T19:54:06Z,68.304576144036,usage_idle
,,2,2018-05-22T19:54:16Z,87.88598574821853,usage_idle

